,first_additional_layer,second_additional_layer,third_additional_layer,n_neurons,n_batch_size,dropout_rate,Loss,MSE
0,False,False,False,32,16,0.2,"[0.0002993274247273803, 0.017286527901887894]","[0.0009877049596980214, 0.02943768911063671]"
1,False,False,False,32,8,0.2,"[0.00032543798442929983, 0.01803278923034668]","[0.0011651193490251899, 0.03165939450263977]"
2,False,False,False,16,32,0.2,"[0.0003430304932408035, 0.01852286607027054]","[0.0013523440575227141, 0.03378817066550255]"
3,False,False,False,32,32,0.2,"[0.00036600427119992673, 0.019123787060379982]","[0.001399695873260498, 0.034493010491132736]"
4,False,False,True,32,32,0.2,"[0.0007022215286269784, 0.02643059939146042]","[0.0028035300783813, 0.048891857266426086]"
5,False,False,True,32,16,0.2,"[0.0007713825325481594, 0.027656057849526405]","[0.0028941549826413393, 0.050357386469841]"
6,False,True,False,32,32,0.2,"[0.0008174239192157984, 0.028530852869153023]","[0.003458057763054967, 0.053795285522937775]"
7,True,False,False,32,32,0.2,"[0.0009462168090976775, 0.030667513608932495]","[0.003905676305294037, 0.057456448674201965]"
8,False,False,True,16,32,0.2,"[0.000955789175350219, 0.030807936564087868]","[0.003927238751202822, 0.057793356478214264]"
9,False,False,False,16,16,0.2,"[0.0009703856776468456, 0.03102685697376728]","[0.003930768929421902, 0.05802537500858307]"
10,False,True,False,16,32,0.2,"[0.0009398993570357561, 0.030591953545808792]","[0.004042661748826504, 0.058085840195417404]"
11,True,False,True,16,32,0.2,"[0.0010757929412648082, 0.03271779045462608]","[0.004684027750045061, 0.06258593499660492]"
12,False,False,False,16,8,0.2,"[0.0011659902520477772, 0.03399323299527168]","[0.004732389003038406, 0.06345526874065399]"
13,True,False,True,32,16,0.2,"[0.001323331263847649, 0.03625360131263733]","[0.005592600908130407, 0.06842105835676193]"
14,True,False,False,32,16,0.2,"[0.001411838224157691, 0.037380967289209366]","[0.005709085613489151, 0.0700126364827156]"
15,False,True,True,16,32,0.2,"[0.0014160046121105552, 0.037533700466156006]","[0.006219238042831421, 0.0717233344912529]"
