solver,activation_function,hidden_layers,learning_rate,accuracy,precision,recall,f1_score,fit_time,total_epochs
sgd,tanh,"[15, 88, 20, 100, 94, 2]",0.0517,0.9247,0.9253364950034432,0.9242324289946116,0.9240539361452916,12.6,15
sgd,logistic,"[46, 87]",0.0121,0.9625,0.9622249445726944,0.9620955546187748,0.962105954793293,69.3,63
lbfgs,tanh,"[4, 62, 39, 21]",0.0327,0.8872,0.8853297496413222,0.8851353223901212,0.8848640460227495,75.1,250
adam,identity,[50],0.0959,0.8977,0.899486753644406,0.8963945526242252,0.8969345342409755,3.1,5
sgd,logistic,[22],0.0943,0.9575,0.9573685045945478,0.9570227756790622,0.9570819628944705,10.1,21
adam,tanh,[93],0.0483,0.937,0.9369079212998636,0.9362240647173026,0.9363626539409868,11.1,13
adam,logistic,"[91, 58]",0.0278,0.9608,0.9609158682903904,0.9604437399802536,0.9604380557017972,18.5,11
adam,tanh,"[24, 82, 88, 99, 15]",0.059,0.1135,0.01135,0.1,0.0203861697350696,7.7,7
sgd,logistic,[3],0.0526,0.7749,0.7693264652346539,0.7722801108673656,0.7679050029239052,8.2,33
lbfgs,tanh,"[8, 13, 38, 38, 77]",0.0518,0.9327,0.9317944222397452,0.9318185035716824,0.9317695553911765,94.1,250
adam,relu,"[35, 94, 73, 50]",0.0404,0.9209,0.921596432504183,0.9196429102208142,0.919868886350969,22.5,19
sgd,tanh,"[27, 68]",0.0593,0.966,0.9655395368092804,0.9658170994300188,0.9656122358210972,8.6,17
adam,relu,"[28, 53]",0.0042,0.967,0.966877269266006,0.9669679721400336,0.9667550467833704,8.7,14
sgd,tanh,"[33, 30, 32]",0.0803,0.9646,0.9642177535760724,0.9643025377610536,0.9641335249479678,6.5,13
lbfgs,tanh,[13],0.0104,0.9371,0.9363974786071728,0.9361332307794376,0.9362055995693944,35.9,250
adam,identity,[88],0.0848,0.8863,0.8862593436602644,0.8849913956472776,0.8843274799336557,3.8,5
adam,identity,"[82, 12]",0.0113,0.912,0.9121038830263236,0.9114151171446052,0.9109767789143568,5.6,8
sgd,identity,"[23, 68, 61, 77]",0.0811,0.9144,0.9141860686933676,0.9133807187492088,0.913375789984132,7.3,11
adam,relu,"[32, 46]",0.0609,0.8978,0.8969999859249868,0.8967103769517797,0.896062188738793,6.0,10
sgd,identity,[97],0.0567,0.9231,0.9225053714840946,0.9220954249028852,0.922008732483738,6.9,12
lbfgs,relu,"[41, 37, 46, 17]",0.0033,0.9654,0.9651023513611048,0.9650334651053928,0.9650391346471652,105.4,250
lbfgs,relu,"[54, 57, 67, 11]",0.0348,0.9683,0.9680378022484928,0.9679669147204584,0.9679920740247722,133.8,250
sgd,logistic,"[36, 86, 95, 29, 90]",0.0165,0.1135,0.01135,0.1,0.0203861697350696,12.9,5
lbfgs,relu,"[5, 48]",0.0425,0.8831,0.8813994412255758,0.8814096754636054,0.8810566744646702,53.0,250
