number,value,params_conv_kernel_size,params_conv_padding,params_conv_stride,params_drop_conv2,params_drop_prob_fc1,params_lr,params_num_conv_layers,params_num_filter_0,params_num_filter_1,params_num_filter_2,params_num_neurons,params_optimizer,params_pool_kernel_size,params_pool_stride,user_attrs_accuracy,user_attrs_conv_kernel_size,user_attrs_conv_padding,user_attrs_conv_stride,user_attrs_f1_score,user_attrs_pool_kernel_size,user_attrs_pool_stride,user_attrs_precision,user_attrs_recall,user_attrs_test_loss,total_epochs
2,0.2441,3,3,1,0.4264137374073481,0.30186845292339476,0.012769190167277462,1,80.0,,,10,Adam,3,3,0.2441,3,3,1,0.13611328532185157,3,3,0.19931086381492588,0.2441,1.7484560865944567,5
4,0.9502,5,3,1,0.42136189802206536,0.4630624543369307,0.004870861315728758,3,80.0,16.0,32.0,200,Adam,3,2,0.9502,5,3,1,0.9501397725360857,3,2,0.9514631285397587,0.9502,0.18470778312865488,5
6,0.9619,5,3,2,0.33100212361255504,0.36427571014950116,1.4988294257637169e-05,3,96.0,80.0,112.0,380,Adam,2,2,0.9619,5,3,2,0.9618339075272819,2,2,0.9619805167218528,0.9619,0.12213806620428559,5
5,0.9631,7,2,2,0.41749047454842536,0.42449400913431856,0.0025626954708253967,2,32.0,96.0,,270,SGD,2,2,0.9631,7,2,2,0.9630607777609809,2,2,0.9632389819779819,0.9631,0.1282844581550505,5
10,0.9823,5,1,1,0.37816218861368867,0.26487912667164615,3.240647406070839e-05,3,80.0,32.0,128.0,270,RMSprop,2,2,0.9823,5,1,1,0.9822963674277702,2,2,0.9823496062287397,0.9823,0.05529168350556039,5
15,0.9872,7,1,2,0.34864274902950765,0.3202508725064265,0.002183475366920256,1,80.0,,,140,Adam,3,3,0.9872,7,1,2,0.9871877235472353,3,3,0.9873277350861,0.9872,0.049583170594855557,5
16,0.991,7,3,1,0.3967593969866525,0.31591497197439306,0.0004265324039298587,2,112.0,32.0,,180,RMSprop,3,2,0.991,7,3,1,0.9910003916198924,3,2,0.9910251399669784,0.991,0.03043870159487056,5
7,0.9912,7,3,1,0.2800965017428438,0.20056484986545203,0.05078344984215791,1,112.0,,,190,SGD,2,3,0.9912,7,3,1,0.9912015245944497,2,3,0.9912159699664096,0.9912,0.028762531565715066,5
3,0.993,7,3,1,0.23204427546202933,0.3108129988708268,0.000596608058577284,3,64.0,96.0,64.0,90,RMSprop,2,2,0.993,7,3,1,0.9929969692999926,2,2,0.9930281546904028,0.993,0.027142510584513328,5
11,0.9939,5,3,1,0.437103990879252,0.4098801964601213,0.046106590474024274,3,32.0,64.0,96.0,280,SGD,3,2,0.9939,5,3,1,0.9938953339778455,3,2,0.9939123718919359,0.9939,0.01865785698586538,5
